WKT,WKT,VALUE,id,@id,power,voltage,raster,cables,operator,frequency,name,circuits,operator:short,operator:wikidata,operator:wikipedia,ref,wires,layer,source,motorcycle,line,fixme,admin_level,surface,not:operator:wikidata,addr:postcode,note,motorcar,alt_name,description,source:date,cable,location,highway,import,bridge,submarine,construction,disused,design,design:incomplete,start_date,seamark:type,communication,distance,length,,,
"MULTILINESTRING ((1113722.02916462 9975003.07635666,1123649.66944006 9969880.4738939))",POINT (1113722.02916462 9975003.07635666),0.02044837,way/756631777,way/756631777,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11171.35164,11123.054,,,
"MULTILINESTRING ((1120650.09531134 9975003.07635666,1124859.11707616 9971182.90609878))",POINT (1120650.09531134 9975003.07635666),0.02010628,way/756631777,way/756631777,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5684.150334,5659.223,,,
"MULTILINESTRING ((1110257.99609126 9968071.14943298,1123649.66944006 9969880.4738939))",POINT (1110257.99609126 9968071.14943298),0.02035291,way/756631777,way/756631777,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13513.34785,13455.279,,,
"MULTILINESTRING ((-514373.515315725 9943809.40520007,-514828.100546233 9943242.57968161))",POINT (-514373.515315725 9943809.40520007),0.01972369,way/939542510,way/939542510,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.5940408,717.715,,,
"MULTILINESTRING ((-510909.482242363 9940343.44173822,-511133.523062191 9942072.67230771))",POINT (-510909.482242363 9940343.44173822),0.01968103,way/939542510,way/939542510,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.683644,1722.53,,,
"MULTILINESTRING ((898951.978616149 9936877.47827638,895911.128253527 9922484.79079684))",POINT (898951.978616149 9936877.47827638),0.02035243,way/945128886,way/945128886,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14710.41209,14687.56,,,
"MULTILINESTRING ((905880.044762874 9933411.51481453,896199.703145613 9922413.11885753))",POINT (905880.044762874 9933411.51481453),0.02033407,way/945128886,way/945128886,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14651.74827,14628.465,,,
"MULTILINESTRING ((-479733.184582101 9929945.55135269,-479266.658340904 9931524.43195477))",POINT (-479733.184582101 9929945.55135269),0.01952642,way/736595654,way/736595654,line,500000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.362867,1627.644,,,
"MULTILINESTRING ((898951.978616149 9929945.55135269,896199.703145613 9922413.11885753))",POINT (898951.978616149 9929945.55135269),0.02029049,way/945128886,way/945128886,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019.51118,8007.042,,,
"MULTILINESTRING ((-476269.151508738 9926479.58789084,-474151.695582454 9929750.73846685))",POINT (-476269.151508738 9926479.58789084),0.01951239,way/736595654,way/736595654,line,500000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896.671104,3852.764,,,
"MULTILINESTRING ((905880.044762874 9926479.58789084,896413.5120826 9922070.65324878))",POINT (905880.044762874 9926479.58789084),0.02015875,way/945128886,way/945128886,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10442.88972,10426.284,,,
"MULTILINESTRING ((898951.978616149 9923013.624429,896413.5120826 9922070.65324878))",POINT (898951.978616149 9923013.624429),0.02010061,way/945128886,way/945128886,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.952546,2703.739,,,
"MULTILINESTRING ((2845738.56584583 9891819.9532724,2814004.50655626 9887457.19368619))",POINT (2845738.56584583 9891819.9532724),0.02104225,way/940979322,way/940979322,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32032.54892,30005.016,,,
"MULTILINESTRING ((2842274.53277247 9884888.02634871,2814004.50655626 9887457.19368619))",POINT (2842274.53277247 9884888.02634871),0.02131896,way/940979322,way/940979322,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28386.52855,26592.325,,,
"MULTILINESTRING ((2849202.5989192 9884888.02634871,2814004.50655626 9887457.19368619))",POINT (2849202.5989192 9884888.02634871),0.02132118,way/940979322,way/940979322,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35291.73171,33054.734,,,
"MULTILINESTRING ((2845738.56584583 9877956.09942503,2813945.25216545 9886907.57046879))",POINT (2845738.56584583 9877956.09942503),0.02141912,way/940979322,way/940979322,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33029.43579,30938.856,,,
"MULTILINESTRING ((1044441.36769737 9822500.68403552,1034525.21042478 9809822.32367972))",POINT (1044441.36769737 9822500.68403552),0.0189265,way/756074043,way/756074043,line,150000;20000,1,6,PLN,50,Tanjung-Kuaro,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16095.68254,16044.261,,,
"MULTILINESTRING ((1037513.30155065 9819034.72057367,1032011.09036682 9811769.59402359))",POINT (1037513.30155065 9819034.72057367),0.01924677,way/756074043,way/756074043,line,150000;20000,1,6,PLN,50,Tanjung-Kuaro,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9113.52795,9084.982,,,
"MULTILINESTRING ((1047905.40077073 9819034.72057367,1035795.55521891 9808848.11100784))",POINT (1047905.40077073 9819034.72057367),0.01898022,way/756074043,way/756074043,line,150000;20000,1,6,PLN,50,Tanjung-Kuaro,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15824.51812,15773.463,,,
"MULTILINESTRING ((1040977.33462401 9812102.79364998,1035795.55521891 9808848.11100784))",POINT (1040977.33462401 9812102.79364998),0.01888447,way/756074043,way/756074043,line,150000;20000,1,6,PLN,50,Tanjung-Kuaro,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119.133673,6099.674,,,
